speed,elapsedTime,elapsedDistance,lateralAcceleration,longitudinalAcceleration,gear,gearRatio,engineSpeed,torque,power,downForce,dragForce,tractionControl,throttlePosition,brakePosition,cornerRadius,sectorIndex,maximumCornerSpeed,loadSensitiveLatGrip,loadSensitiveLongGrip,yawangle,yawvelocity,yawacceleration,xposition,yposition,trackelevation,fz,
Speed (linear),Time,Length,Acceleration (linear),Acceleration (linear),Unitless,Unitless,Speed (angular),Torque,Power,Force,Force,Ratio,Ratio,Ratio,Length,Unitless,Speed (linear),Unitless,Unitless,Angle,Speed (angular),Acceleration (angular),Length,Length,Length,Force,
km/h,s,m,m/s^2,m/s^2,-,-,rpm,N.m,hp,N,N,%,%,%,m,-,km/h,-,-,deg,rpm,deg/s^2,m,m,m,N,
88.2604736753259,0.604982598363055,14,0,5.73164812748593,1,3,2809.41813301205,209.529093349398,82.6656844112849,-4.80558180178058,288.334908106835,1.11563886182519,100,0,0,1,0,1.5,1.4,3.41509458500638E-06,8.36726545021864E-29,-1.71445803441529E-27,13.6606722353715,-0.0268742762089754,0,3379.64441819822,
88.4707316627879,0.615179688436588,14.25,0,5.72761406401731,1,3,2816.11085261787,209.194457369106,82.7302755247378,-4.82850521109471,289.710312665683,0.957894504517729,100,0,0,1,0,1.5,1.4,3.41509458500638E-06,2.78908848340621E-29,-5.72854924067887E-28,13.904502639651,-0.0273628994127749,0,3379.62149478891,
88.6803423231497,0.625352544284897,14.5,0,5.72358286621126,1,3,2822.78296716214,208.860851641893,82.7940416539045,-4.85141233802742,291.084740281645,0.800135571985985,100,0,0,1,0,1.5,1.4,3.41509458500638E-06,9.29696161135405E-30,-1.91406534765687E-28,14.1483330439305,-0.0278515226165745,0,3379.59858766197,
88.8893103559446,0.635501354905411,14.75,0,5.71955453174457,1,3,2829.43462623564,208.528268688218,82.8569899993883,-4.87430319575353,292.458191745212,0.64236074316594,100,0,0,1,0,1.5,1.4,3.41509458500638E-06,3.09898720378468E-30,-6.39533425608162E-29,14.39216344821,-0.0283401458203741,0,3379.57569680425,
89.0976404023219,0.645626306897907,15,0,5.71552905830039,1,3,2836.06597757074,208.196701121463,82.9191276708571,-4.89717779741245,293.830667844747,0.484568711213202,100,0,0,1,0,1.5,1.4,3.41509458500638E-06,1.03299573459489E-30,-2.13680144748548E-29,14.6359938524894,-0.0288287690241736,0,3379.55282220259,
89.3053370460669,0.655727584506787,15.25,0,5.71150644356808,1,3,2842.67716707386,207.866141646307,82.9804616886346,-4.92003615610866,295.20216936652,0.326758183238185,100,0,0,1,0,1.5,1.4,3.41509458500638E-06,3.44331911531631E-31,-7.13936491039087E-30,14.8798242567689,-0.0293173922279732,0,3379.52996384389,
89.5124048145995,0.665805369662401,15.5,0,5.70748668524315,1,3,2849.26833885726,207.536583057137,83.0409989852555,-4.9428782849123,296.572697094738,0.168927880047153,100,0,0,1,0,1.5,1.4,3.41509458500638E-06,1.14777303843877E-31,-2.38533585827227E-30,15.1236546610484,-0.0298060154317727,0,3379.50712171509,
89.7188481799499,0.675859842021446,15.75,0,5.70346978102716,1,3,2855.83963527006,207.208018236497,83.1007464069853,-4.96570419685968,297.942251811581,0.0110765358891314,100,0,0,1,0,1.5,1.4,3.41509458500638E-06,3.82591012812924E-32,-7.96955538630753E-31,15.3674850653279,-0.0302946386355723,0,3379.48429580314,
89.9243085893909,0.685891179006456,16,0,5.68940471655185,1,3,2862.37964322451,206.881017838775,83.159607262083,-4.98847363394009,299.308418036405,0,100,0,0,1,0,1.5,1.4,3.41509458500638E-06,1.27530337604308E-32,-2.66264521752337E-31,15.6113154696074,-0.0307832618393718,0,3379.46152636606,
90.1287676389554,0.695899596242217,16.25,0,5.67464156386853,1,3,2868.88777690412,206.555611154794,83.2175849793879,-5.01118380209521,300.671028125713,0,100,0,0,1,0,1.5,1.4,3.41509458500638E-06,4.25101125347693E-33,-8.89580933705246E-32,15.8551458738869,-0.0312718850431714,0,3379.43881619791,
90.3322344180656,0.705885309168031,16.5,0,5.65994137551595,1,3,2875.3643256342,206.23178371829,83.2746908362389,-5.03383495654383,302.03009739263,0,100,0,0,1,0,1.5,1.4,3.41509458500638E-06,1.41700375115898E-33,-2.97201185188111E-32,16.0989762781663,-0.0317605082469709,0,3379.41616504346,
90.5347178823147,0.715848530002741,16.75,0,5.64530362911471,1,3,2881.80957448012,205.909521275994,83.3309359254488,-5.05642735034972,303.385641020983,0,100,0,0,1,0,1.5,1.4,3.41509458500638E-06,4.72334583719659E-34,-9.92907068151073E-33,16.3428066824458,-0.0322491314507705,0,3379.39357264965,
